# Resolved pools list by minerstat for msOS
# Updated Mon Dec 19 14:00:37 UTC 2022
# ip,fqdn
139.99.51.161 asia.x11.mining-dutch.nl
139.99.51.160 asia.x11gost.mining-dutch.nl
139.99.51.163 asia.x13bcd.mining-dutch.nl
139.99.51.163 asia.x16r.mining-dutch.nl
139.99.51.163 asia.x16s.mining-dutch.nl
139.99.51.163 asia.x17.mining-dutch.nl
139.99.51.163 asia.yescrypt.mining-dutch.nl
139.99.51.163 asia.yescryptr16.mining-dutch.nl
139.99.51.163 asia.yescryptr32.mining-dutch.nl
139.99.51.163 asia.yespower.mining-dutch.nl
139.99.51.163 asia.yespowerr16.mining-dutch.nl
34.102.152.90 asia1-beam.flypool.org
54.36.60.204 asia1-etc.ethermine.org
103.153.74.103 asia1.ethermine.ga
172.65.215.159 asia1.ethpool.org
172.65.222.14 aspac-etc.hiveon.net
51.79.159.104 aspac1-etc.hiveon.net
34.90.112.127 aspac1-eth.hiveon.net
198.50.168.213 astralhash.eu.mine.zpool.ca
198.50.168.213 astralhash.na.mine.zpool.ca
167.114.169.117 atheios.wattpool.net
139.180.175.143 au-01.miningrigrentals.com
8.129.12.192 axe.antpool.com
8.218.141.33 b4c.f2pool.com
185.178.208.145 baikalmine.com
54.241.203.241 bbc01.bbcpool.io
51.91.29.107 bbr.luckypool.io
144.76.26.181 bbscoin.my-mining-pool.de
198.50.168.213 bcd.eu.mine.zpool.ca
198.50.168.213 bcd.jp.mine.zpool.ca
198.50.168.213 bcd.na.mine.zpool.ca
198.50.168.213 bcd.sea.mine.zpool.ca
18.193.26.129 bch.ukrpool.com
172.65.249.47 bch.viabtc.com
172.65.251.107 bch.viabtc.top
54.37.81.148 bci.suprnova.cc
136.243.102.154 bcn.pool.minergate.com
203.107.32.162 bcx.vvpool.com
206.189.151.227 beam-asia.leafpool.com
142.93.134.95 beam-eu.leafpool.com
104.217.251.70 beam-us.leafpool.com
162.19.139.120 beam.2miners.com
51.79.70.231 beam.acepool.top
47.107.12.109 beam.antpool.com
172.67.212.42 beam.leafpool.com
203.107.33.230 beam.sparkpool.com
195.201.121.246 beam.sunpool.top
45.55.72.65 beam.suprnova.cc
34.111.56.74 beamv3.br.nicehash.com
34.111.56.74 beamv3.eu.nicehash.com
34.111.56.74 beamv3.hk.nicehash.com
34.111.56.74 beamv3.in.nicehash.com
34.111.56.74 beamv3.jp.nicehash.com
34.111.56.74 beamv3.usa.nicehash.com
199.59.243.222 bestminer.eu
104.21.67.193 bibop.net
198.50.168.213 binarium-v1.eu.mine.zpool.ca
198.50.168.213 binarium-v1.jp.mine.zpool.ca
198.50.168.213 binarium-v1.na.mine.zpool.ca
172.65.205.242 bitcoin.viabtc.com
172.65.223.122 bitcoin.viabtc.top
103.249.70.7 bitcore.asia.mine.zergpool.com
198.50.168.213 bitcore.eu.mine.zpool.ca
198.50.168.213 bitcore.jp.mine.zpool.ca
103.249.70.7 bitcore.mine.zergpool.com
198.50.168.213 bitcore.na.mine.zpool.ca
188.165.198.144 bittubecash.miner.rocks
51.79.251.11 blake2b.asia.mine.zergpool.com
198.50.168.213 blake2b.eu.mine.zpool.ca
103.249.70.7 blake2b.mine.zergpool.com
198.50.168.213 blake2b.na.mine.zpool.ca
51.79.251.11 blake2s.asia.mine.zergpool.com
34.111.253.192 blake2s.br.nicehash.com
198.50.168.213 blake2s.eu.mine.zpool.ca
34.111.253.192 blake2s.eu.nicehash.com
34.111.253.192 blake2s.hk.nicehash.com
34.111.253.192 blake2s.in.nicehash.com
198.50.168.213 blake2s.jp.mine.zpool.ca
34.111.253.192 blake2s.jp.nicehash.com
103.249.70.7 blake2s.mine.zergpool.com
193.70.35.154 blake2s.mining-dutch.nl
198.50.168.213 blake2s.na.mine.zpool.ca
173.82.173.62 blake2s.pool.atomminer.com
198.50.168.213 blake2s.sea.mine.zpool.ca
34.111.253.192 blake2s.usa.nicehash.com
198.50.168.213 blakecoin.eu.mine.zpool.ca
51.81.183.114 blockmasters.co
51.79.251.11 bmw512.asia.mine.zergpool.com
141.95.55.97 bmw512.eu.mine.zergpool.com
198.50.168.213 bmw512.eu.mine.zpool.ca
103.249.70.7 bmw512.mine.zergpool.com
198.50.168.213 bmw512.na.mine.zpool.ca
172.65.231.147 bs.poolbinance.com
172.67.197.194 bsod.pw
8.209.81.41 bsv.ukrpool.com
172.65.217.174 btc-eu.f2pool.com
35.202.11.182 btc-eu.luxor.tech
162.62.3.225 btc-mow.f2pool.com
172.65.217.174 btc-us.f2pool.com
35.202.11.182 btc-us.luxor.tech
104.21.73.242 btc.blockwarepool.com
172.65.217.174 btc.f2pool.com
35.244.212.109 btc.luxor.tech
172.65.253.87 btc.ss.poolin.com
162.62.4.41 btc.trustpool.ru
3.65.178.51 btc.ukrpool.com
172.65.233.152 btc.viabtc.com
172.65.253.106 btc.viabtc.top
162.19.139.120 btcp.2miners.com
54.37.81.148 btcp.suprnova.cc
103.224.212.221 btcv.gomine.pro
162.19.139.120 btcz.2miners.com
37.187.226.146 btcz.altpool.pro
147.135.220.159 btcz.suprnova.cc
162.19.139.181 btg.2miners.com
138.201.198.155 btg.hashcity.org
99.83.209.64 btg.pool.gold
145.239.0.50 btg.suprnova.cc
37.187.226.146 bth.altpool.pro
18.185.240.102 bze.pcmining.xyz
51.79.251.11 c11.asia.mine.zergpool.com
198.50.168.213 c11.eu.mine.zpool.ca
198.50.168.213 c11.jp.mine.zpool.ca
103.249.70.7 c11.mine.zergpool.com
51.178.179.75 c11.mining-dutch.nl
198.50.168.213 c11.na.mine.zpool.ca
51.222.12.70 ca-qrl.miningocean.org
155.138.134.202 ca-tor01.miningrigrentals.com
51.222.12.70 ca-upx.miningocean.org
141.95.126.31 ca.conceal.herominers.com
141.95.126.31 ca.haven.herominers.com
167.114.208.25 ca.haven.miner.rocks
141.95.126.31 ca.monero.herominers.com
155.138.150.133 ca.rvn.minermore.com
141.95.126.31 ca.scala.herominers.com
68.183.195.129 ca.stratu.ms
99.79.195.99 ca.stratum.slushpool.com
141.95.126.31 ca.turtlecoin.herominers.com
217.182.138.7 cash-eu.coinmine.pl
217.182.138.7 cash.coinmine.pl
168.119.79.208 cfx-eu.ss.poolflare.net
192.99.233.13 cfx-us.ss.poolflare.net
13.215.188.210 cfx.ss.poolflare.net
185.53.177.53 champmine.de
47.109.19.205 chi.f2pool.com
142.202.242.45 chicago01.hashvault.pro
162.19.139.119 ckb.2miners.com
47.242.196.19 ckb.antpool.com
8.218.170.174 ckb.f2pool.com
203.107.33.230 ckb.sparkpool.com
39.107.217.77 ckb.stratum.hashpool.com
162.19.139.120 clo.2miners.com
150.95.255.38 clopool.pro
168.119.146.54 cluster.aionpool.tech
103.214.5.103 cmm-eu.coinblockers.com
3.143.54.106 cmra.miningpool.fun
31.13.94.41 cnpool.cc
51.210.32.161 coinotron.com
184.190.233.217 coins4u.cc
172.67.144.254 comining.io
141.95.126.31 conceal.herominers.com
188.165.198.144 conceal.miner.rocks
47.88.91.129 connect.pool.bitcoin.com
89.232.109.242 coolpool.top
144.76.26.181 cpacoin.my-mining-pool.de
185.185.70.244 cpu-pool.com
51.79.251.11 cpupower.asia.mine.zergpool.com
141.95.55.97 cpupower.eu.mine.zergpool.com
198.50.168.213 cpupower.eu.mine.zpool.ca
103.249.70.7 cpupower.mine.zergpool.com
199.59.243.222 crypit.net
193.70.35.154 cryptonight.mining-dutch.nl
34.111.86.137 cryptonightr.br.nicehash.com
34.111.86.137 cryptonightr.eu.nicehash.com
34.111.86.137 cryptonightr.hk.nicehash.com
34.111.86.137 cryptonightr.in.nicehash.com
34.111.86.137 cryptonightr.jp.nicehash.com
34.111.86.137 cryptonightr.usa.nicehash.com
31.131.20.36 cryptonote.club
75.144.254.101 cryptonote.social
109.234.160.89 cryptopool.at
